,Sample Date,Address,1st Draw,2/3 Min,5 Min
159,2016-03-10 00:00:00,8300 S WABASH AVE,1.0,1.0,1.0
160,2016-03-11 00:00:00,1500 W JONQUIL TERRACE,1.0,1.0,1.0
161,2016-03-11 00:00:00,1400 W CULLOM AVE,3.99,2.94,2.48
162,2016-03-12 00:00:00,5300 N GLENWOOD AVE,1.0,1.0,1.0
163,2016-03-12 00:00:00,4600 N ST LOUIS AVE,1.0,1.0,1.0
164,2016-03-12 00:00:00,6500 S RICHMOND ST,1.0,1.0,1.0
165,2016-03-14 00:00:00,10700 S HOYNE AVE,1.09,1.0,1.0
166,2016-03-14 00:00:00,500 E 89TH ST,3.67,1.26,1.0
167,2016-03-14 00:00:00,7100 W 51ST PL,4.86,1.09,1.0
168,2016-03-15 00:00:00,1700 N SAYRE AVE,2.84,4.02,1.26
169,2016-03-15 00:00:00,3600 N DAMEN AVE,1.0,1.0,1.0
170,2016-03-16 00:00:00,2100 W BELLE PLAINE AVE,2.43,1.66,1.59
171,2016-03-16 00:00:00,2400 N ORCHARD ST,3.53,2.54,2.3
172,2016-03-16 00:00:00,5800 W GIDDINGS ST,7.44,4.0,2.08
173,2016-03-17 00:00:00,2000 N KENMORE AVE,1.0,1.0,1.0
174,2016-03-17 00:00:00,1300 W 73RD ST,6.36,1.94,1.58
175,2016-03-17 00:00:00,7200 N RIDGE BLVD,1.0,1.0,1.0
176,2016-03-19 00:00:00,4600 N DELPHIA AVE,3.66,5.32,1.49
177,2016-03-19 00:00:00,11300 S LAFLIN ST,1.27,1.0,1.0
178,2016-03-19 00:00:00,5700 S CAMPBELL AVE,1.83,1.0,1.0
179,2016-03-19 00:00:00,5500 S KENWOOD AVE,3.79,1.84,1.83
180,2016-03-19 00:00:00,12700 S UNION AVE,1.0,1.17,1.16
181,2016-03-22 00:00:00,7200 W EVERELL AVE,1.7,2.25,1.0
182,2016-03-22 00:00:00,4200 N WINCHESTER AVE,1.7,1.29,1.15
183,2016-03-23 00:00:00,1000 N CLEVELAND AVE,1.0,1.0,1.0
184,2016-03-23 00:00:00,400 W WELLINGTON AVE,1.13,1.0,1.0
185,2016-03-25 00:00:00,10500 S AVE J,2.95,1.52,1.55
186,2016-03-25 00:00:00,3100 W PALMER ST,1.0,1.0,1.0
187,2016-03-25 00:00:00,7800 S SOUTH SHORE DR,1.0,1.0,1.0
188,2016-03-26 00:00:00,1700 W HENDERSON ST,1.0,1.0,1.0
189,2016-03-26 00:00:00,2300 W DICKENS AVE,2.13,1.67,1.65
190,2016-03-29 00:00:00,6000 S THROOP ST,1.0,1.0,1.0
191,2016-03-29 00:00:00,7900 S SOUTH CHICAGO AVE,1.0,1.0,1.0
192,2016-03-29 00:00:00,1900 W SCHOOL ST,1.84,1.13,1.07
193,2016-03-29 00:00:00,5500 S DORCHESTER AVE,1.0,1.0,1.0
194,2016-03-30 00:00:00,5000 N LEAVITT ST,1.0,1.0,1.0
195,2016-03-31 00:00:00,9300 S LOWE AVE,1.53,3.07,1.0
196,2016-03-31 00:00:00,2000 N HOYNE AVE,1.96,4.51,1.02
197,2016-04-01 00:00:00,3700 N HARDING AVE,1.06,1.0,1.0
198,2016-04-01 00:00:00,5700 S MOODY AVE,1.28,1.0,1.0
