Name,Street Dir,Street Num
Margate Terrace,N,4930
Maria Court,W,8500
Marine Dr,W,610
Marion Court,W,1838
Markham Ave,W,5900
Marmora Ave,W,5900
Marquette Rd,E,500
Marquette Rd,S,6700
Marquette Dr,S,6600
Marquette Ave,E,2700
Marshall Blvd,W,2900
Marshfield Ave,W,1632
"Dr Martin Luther King, Jr Dr",E,344
Maryland Ave,E,832
Mason Dr,W,5932
Mason Ave,W,5932
Massasoit Ave,W,5732
Matson Ave,N,6146
Maud Ave,W,1000
Mautene Court,W,1632
Maxwell St,S,1330
May St,W,1132
Mayfield Ave,W,5900
Maypole Ave,N,134
Mcalpin Ave,W,6300
Mcclellan Ave,W,5600
Mcclurg Court,E,400
Mccook Ave,W,6022
Mccormick Rd,W,3300
Mccrea Dr,W,3356
Mccutcheon Terrace,W,944
Mcdermott St,W,1400
Mcdowell Ave,W,1404
Mcfetridge Dr,S,1326
Mclean Ave,N,2034
Mcleod Ave,W,6246
Mcvicker Ave,W,6032
Meade Ave,W,6100
Medford Ave,W,6200
Medill Ave,N,2334
Medina Ave,W,6158
Melrose St,N,3232
Melvina Ave,W,6200
Memory Lane,N,5146
Menard Dr,W,5800
Menard Ave,W,5800
Mendell St,W,1500
Mendota Ave,W,6224
Menomonee St,N,1800
Merchandise Mart Plaza,N,318
Meredith Ave,W,5626
Merrill Ave,E,2132
Merrimac Ave,W,6234
Merrion Ave,E,2214
Meyer Ave,W,510
Miami Ave,N,6124
Michigan Ave,E,100
Midway Park,N,500
Midway Plaisance,S,5900
Midway Plaisance Dr,S,5900
Mies Van Der Rohe Way,E,200
Mildred Ave,W,900
Millard Ave,W,3632
Miller St,W,1028
Miltimore Ave,W,5834
Milwaukee Ave,W,500
Minerva Ave,E,1132
Minnehaha Ave,W,5400
Minnetonka Ave,W,5626
Mobile Ave,W,6300
Moffat St,N,1832
Mohawk St,W,532
Monitor Ave,W,5832
Monon Ave,W,6234
Monroe St,S,100
Monroe Dr,S,100
Monroe Pkwy,S,36
Monsignor Mcelligott Ave,S,10200
Mont Clare Ave,W,7132
Montana St,N,2432
Monterey Ave,S,11200
Montgomery Ave,S,4122
Monticello Ave,W,3632
Montrose Ave,N,4400
Montrose Harbor Dr,N,4400
Montvale Ave,S,11334
Moody Ave,W,6132
Moorman St,W,1700
Morgan Dr,S,5500
Morgan St,W,1000
Morse Ave,N,6944
Moselle Ave,W,6300
Mozart Dr,W,2832
Mozart St,W,2832
Mulligan Ave,W,6332
Museum Dr,S,5700
Music Court Dr,S,112
Muskegon Ave,E,2838
Myrick St,S,7852
Myrtle Ave,N,6200
Nagle Ave,W,6432
Naper Ave,W,6600
Naples Ave,W,6400
Napoleon Ave,W,6440
Narragansett Ave,W,6400
Nashotah Ave,W,6524
Nashville Ave,W,6600
Nassau Ave,W,6400
Natchez Ave,W,6434
Natoma Ave,W,6600
Navajo Ave,W,5300
Naval Armory Dr,S,5200
Navarre Ave,W,6420
Neenah Ave,W,6532
Nelson St,N,3032
Neola Ave,W,6700
Nettleton Ave,W,6800
Neva Ave,W,7132
New St,E,341
New England Ave,W,6900
New Hampshire Ave,W,7000
Newark Ave,W,6700
Newberry Ave,W,828
Newburg Ave,W,6400
Newcastle Ave,W,6834
Newgard Ave,W,1432
Newland Ave,W,6932
Newport Ave,N,3432
Niagara Ave,W,7000
Nickerson Ave,W,6900
Nicolet Ave,W,7044
Nina Ave,W,7200
Nixon Ave,W,7032
Noble St,W,1400
Nokomis Ave,W,5300
Nora Ave,W,7032
Nordica Ave,W,7100
Normal Pkwy,S,6734
Normal Ave,W,500
Normal Blvd,W,500
Normandy Ave,W,6700
North Blvd,N,1600
North Ave,N,1600
North Branch St,W,800
North Park Ave,W,300
North Shore Ave,N,6700
North Water St,N,400
North West Hwy,W,5400
Northcott Ave,W,6900
Norwood St,N,6032
Nottingham Ave,N,7100
Oak St,N,1000
Oak Park Ave,W,6800
Oakdale Ave,N,2932
Oakenwald Ave,E,1100
Oakley Blvd,W,2300
Oakley Ave,W,2300
Oakview Ave,W,8700
Oakwood Blvd,S,3946
Oakwood Dr,S,3946
Oconto Ave,W,7232
Octavia Ave,W,7300
Odell Ave,W,7332
Ogallah Ave,W,7542
Ogden Ave,S,1
Ogden Ave,W,1544
Oglesby Ave,E,2332
Ohio St,N,600
Oketo Ave,W,7400
Olcott Ave,W,7500
Old Tow Court,N,1212
Oleander Ave,W,7532
Oliphant Ave,W,7800
Olive Ave,N,5632
Olmsted Ave,W,7400
Olympia Ave,W,7700
Onarga Ave,W,7800
Oneida Ave,W,7700
Ontario S,N,628
Opal Ave,W,7832
Orange Ave,W,7900
Orchard St,W,700
Oriole Ave,W,7600
Orleans St,W,340
Osage Ave,W,7932
Osceola Ave,W,7432
Oshkosh Ave,W,7800
Oswego St,W,1650
Otsego Ave,W,7614
Ottawa Ave,W,7632
Otto Ave,W,6920
Overhill Ave,W,7700
Owen Ave,W,7700
Oxford Ave,W,7740
Ozanam Ave,W,7800
Ozark Ave,W,7732
Pacific Ave,W,8000
Packers Ave,W,1324
Page Ave,W,8032
Palatine Ave,N,6300
Palmer St,N,2200
Palmer Blvd,N,2200
Panama Ave,W,8100
Paris Ave,W,8132
Park Dr,E,310
Park Terrace,W,60
Park Pl,S,5520
Park Shore East Court,E,1536
Parker Ave,N,2732
Parkside Ave,W,5632
Parkview Terrace,W,3632
Parnell Ave,W,532
Patterson Ave,N,3632
Patton Dr,W,10500
Patton Ave,W,8414
Paulina St,W,1700
Paxton Ave,E,2200
Payne Dr,E,800
Pearson St,N,830
Pensacola Ave,N,4332
Peoria St,W,900
Peoria Dr,W,800
Perry Ave,W,100
Pershing Rd,S,3900
Pershing Pl,S,3920
Peshtigo Court,E,500
Peterson Ave,N,6000
Phillips Ave,E,2432
Picardy Pl,W,1810
Pier Court,W,2718
