,zip,1st Draw,2/3 Min,5 Min,median_INC_2017-2021,per_capita_INC_2017-2021,major_crime_2018-2022,violent_crime_2018-2022,public_crime_2012-2016,behavioral_ health_hospitalizations_2017,cognitive_difficulty_percent_2017-2021,poverty_rate_percent_2017-2021,high_school_grad_rate_2017-2021,college_grad_rate_2017-2021,non_hispanic_white_percent_2017-2021
41,60647,11.47959205582394,6.7339935587761675,2.7535963499731615,89974.0,55599.0,2435.28337,403.0039883,812.8833972,1253.0,2.86370722901452,11.70030308014,90.8809553582594,59.0190071276729,49.1690430554906
42,60649,9.716778309409888,4.022296650717704,2.470127591706539,38026.0,27840.0,2864.170064,972.5986471,1780.167049,1367.0,5.58387203712912,30.5054752883374,89.5251634916122,25.447824850725,2.8464664202724
43,60652,5.688097345132744,5.656873156342183,3.1556342182890855,70766.0,26389.0,790.8304321,188.8986917,482.8525421,417.0,3.77685377685378,13.7122508440087,80.484579923525,19.090161884001,8.31321145222491
44,60653,5.758721804511278,5.581578947368421,3.106691729323308,34564.0,33105.0,1503.00124,422.510839,919.0433121,893.0,7.08332114760331,29.9638458599101,89.587518700577,37.9653772173541,6.29218691155596
45,60654,1.0182608695652173,0.9852173913043478,0.9721739130434782,127072.0,125409.0,1610.559349,232.3386199,140.9313383,181.0,1.30137927874261,6.7432178965186,98.9289348256841,88.925186097574,71.0233770986779
46,60655,4.388361581920904,5.728553672316385,2.559774011299435,105229.0,45696.0,297.7244956,40.2942593,55.27313396,274.0,2.41382908420577,4.32834228402746,95.9352125837097,45.2473654155635,81.0580501547772
47,60656,4.333291925465838,5.900745341614907,2.4837888198757763,75006.0,42361.0,308.1436325,35.88405982,51.10473626,183.0,3.01600615083526,9.35286935286935,91.9927670623145,40.7687314540059,69.8656898656899
48,60657,2.464312312312312,2.391087087087087,1.6126906906906908,98457.0,83102.0,2081.738781,256.4901409,252.3682751,560.0,1.9894138731054,7.50476880021164,98.5912882298424,85.3605189990732,76.8016862424251
49,60659,4.696976284584981,6.106640316205533,3.26897233201581,57077.0,26819.0,810.1698747,146.7613001,172.3681924,344.0,3.88644579006746,17.8329571106095,80.0021043033002,37.9616315364921,35.9395366918978
50,60660,4.275219842164599,3.8010484780157836,2.1174633596392334,56090.0,41774.0,827.3597346,150.9625292,155.6436379,693.0,5.70760339127893,16.3905550795011,90.7665557454208,53.7998021404803,49.7887574490794
51,60707,4.844059040590406,7.176088560885609,3.653357933579336,68430.0,34022.0,359.4362526,55.54895691,90.78322602,462.0,3.68622107593859,7.50103403810126,86.743672498726,29.9473416001359,46.9752354208526
52,60827,12.347868852459017,8.47704918032787,4.822950819672131,32801.0,19032.0,399.7625198,158.0762665,334.6613482,445.0,3.76538461538462,32.092718296822,89.2068306191073,14.5974813740357,1.59938485198001
